ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
7,BRISK,ORB,39.9643,4.57041,268,10.1979,165,,44.5348,
8,BRISK,ORB,39.603,4.5169,259,9.81432,169,,44.1199,
9,BRISK,ORB,41.1228,4.58828,250,9.35629,170,,45.7111,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BRISK,FREAK,40.8769,47.0873,254,9.21291,0,,87.9642,
1,BRISK,FREAK,42.5709,43.18,274,9.86676,154,,85.7509,
2,BRISK,FREAK,40.4394,41.3301,276,10.0693,173,,81.7695,
3,BRISK,FREAK,40.403,41.7462,275,10.0548,153,,82.1492,
4,BRISK,FREAK,40.3398,43.1362,293,10.6275,168,,83.476,
5,BRISK,FREAK,42.3793,43.2002,275,10.2041,158,,85.5794,
6,BRISK,FREAK,41.381,43.0589,289,10.6446,181,,84.44,
7,BRISK,FREAK,40.0208,44.1065,268,10.1979,169,,84.1272,
8,BRISK,FREAK,40.443,42.8985,259,9.81432,174,,83.3415,
9,BRISK,FREAK,41.7107,43.5718,250,9.35629,165,,85.2825,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BRISK,SIFT,41.5095,43.7675,254,9.21291,0,,85.277,
1,BRISK,SIFT,41.0035,41.8203,274,9.86676,177,,82.8238,
2,BRISK,SIFT,41.0786,43.7157,276,10.0693,187,,84.7942,
3,BRISK,SIFT,41.0321,44.2534,275,10.0548,171,,85.2854,
4,BRISK,SIFT,41.21,42.3227,293,10.6275,177,,83.5327,
5,BRISK,SIFT,41.5487,42.5928,275,10.2041,168,,84.1415,
6,BRISK,SIFT,42.2174,42.8089,289,10.6446,190,,85.0263,
7,BRISK,SIFT,41.1674,42.6354,268,10.1979,193,,83.8028,
8,BRISK,SIFT,41.7143,43.9289,259,9.81432,173,,85.6432,
9,BRISK,SIFT,42.0042,40.1205,250,9.35629,181,,82.1247,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,ORB,BRIEF,10.663,0.52018,91,18.2,0,,11.1832,
1,ORB,BRIEF,8.08606,0.565567,102,20.4,49,,8.65162,
2,ORB,BRIEF,7.42788,0.561793,106,21.2,43,,7.98967,
3,ORB,BRIEF,7.34658,0.642383,113,22.6,45,,7.98896,
4,ORB,BRIEF,9.50893,0.558524,109,21.8,59,,10.0675,
5,ORB,BRIEF,7.42887,0.616805,124,24.8,53,,8.04568,
6,ORB,BRIEF,7.70266,0.681401,129,25.8,76,,8.38406,
7,ORB,BRIEF,7.41159,0.791098,127,25.4,67,,8.20269,
8,ORB,BRIEF,7.98512,0.611839,124,24.8,83,,8.59696,
9,ORB,BRIEF,8.6991,0.68239,125,25,65,,9.38149,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,ORB,ORB,7.53714,4.73345,91,18.2,0,,12.2706,
1,ORB,ORB,9.04046,4.52797,102,20.4,67,,13.5684,
2,ORB,ORB,7.46102,5.57158,106,21.2,70,,13.0326,
3,ORB,ORB,7.64388,5.00664,113,22.6,72,,12.6505,
4,ORB,ORB,8.26838,4.73991,109,21.8,84,,13.0083,
5,ORB,ORB,7.30463,5.59272,124,24.8,91,,12.8973,
6,ORB,ORB,7.37836,4.71031,129,25.8,99,,12.0887,
7,ORB,ORB,8.00981,4.75098,127,25.4,91,,12.7608,
8,ORB,ORB,7.49322,5.15695,124,24.8,91,,12.6502,
9,ORB,ORB,7.91538,4.63316,125,25,90,,12.5485,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,ORB,FREAK,7.5695,41.3998,91,18.2,0,,48.9693,
